State,District,Year,Women age group 15 to 49 years who are anaemic (%) (UOM:%(Percentage)) |Scaling Factor:1,Married women age group 15 to 49 years use any family planning methods (%) (UOM:%(Percentage)) |Scaling Factor:1,Children age group 12 to 23 months fully vaccinated based on information from either vaccination card or mothers recall (%) (UOM:%(Percentage)) |Scaling Factor:1,Children age group 12 to 23 months fully vaccinated based on information from vaccination card only (%) (UOM:%(Percentage)) |Scaling Factor:1,Children under 5 years who are stunted (height-for-age) (%) (UOM:%(Percentage)) |Scaling Factor:1,Households using clean fuel for cooking (%) (UOM:%(Percentage)) |Scaling Factor:1,Institutional births (%) (UOM:%(Percentage)) |Scaling Factor:1,Population living in households that use an improved sanitation facility (%) (UOM:%(Percentage)) |Scaling Factor:1,Population living in households with electricity (%) (UOM:%(Percentage)) |Scaling Factor:1,"Population and household profile-sex ratio of the total population (females per 1,000 males) (UOM:Number) |Scaling Factor:1",Women age group 15 to 49 years who are literate (%) (UOM:%(Percentage)) |Scaling Factor:1,Women with 10 or more years of schooling (%) (UOM:%(Percentage)) |Scaling Factor:1
Andaman And Nicobar Islands,Nicobars,"Calendar Year (Jan - Dec), 2019",38.3,65.3,64.2,94.1,21.6,56.9,97.8,83.5,97.9,973,87.5,53.5
Andaman And Nicobar Islands,North And Middle Andaman,"Calendar Year (Jan - Dec), 2019",62.1,84.1,0,0,27,61.3,97.7,86.4,93.2,950,84,41
Andaman And Nicobar Islands,South Andamans,"Calendar Year (Jan - Dec), 2019",57.7,57.1,76.3,96.6,21.1,91.9,99.5,89.3,99.6,967,86.7,57.5
Andhra Pradesh,Ananthapuramu,"Calendar Year (Jan - Dec), 2019",50.5,67.6,81.8,96.6,36,86.4,94.7,71.3,99.6,1047,63.6,31.3
Andhra Pradesh,Chittoor,"Calendar Year (Jan - Dec), 2019",51.8,69,66.6,87.5,27.1,86.6,97.1,74.6,99.7,1024,69.3,40.3
Andhra Pradesh,East Godavari,"Calendar Year (Jan - Dec), 2019",63,66.3,59,67.3,23.1,80.3,96.6,77.7,98.8,995,77.9,43.2
Andhra Pradesh,Guntur,"Calendar Year (Jan - Dec), 2019",59.5,73.3,76.2,100,23.8,91.7,98.6,83.4,99.2,1055,68.5,32.6
Andhra Pradesh,Krishna,"Calendar Year (Jan - Dec), 2019",60.3,79.1,90,97.2,29.8,89.8,98.9,79.1,99.6,1064,76.9,46.2
Andhra Pradesh,Kurnool,"Calendar Year (Jan - Dec), 2019",58.6,70,67,80.4,50.5,78.1,88.5,73.5,99.9,1045,57,33.4
Andhra Pradesh,Prakasam,"Calendar Year (Jan - Dec), 2019",60.4,69,51.9,0,22.6,90.8,97.4,78.4,99.3,1011,62.8,34.5
